ID,alimento,category,latin_name,id_alim
1,"Acciuga o alice, fresca",Prodotti della pesca,Engraulis enchrasicholus,120010
2,"Acciuga o alice, sott'olio",Prodotti della pesca,Engraulis enchrasicholus,120020
3,"Acciuga o alice, sotto sale",Prodotti della pesca,Engraulis enchrasicholus,120030
4,Aglio,Verdure e Ortaggi,Allium sativum,5000
5,Agnello cotto [tessuto muscolare privato del grasso visibile],Carni Fresche,Ovis agnus,104029
6,Agnello [tessuto muscolare privato del grasso visibile],Carni Fresche,Ovis agnus,104020
7,"Agnello, coscio crudo [tessuto muscolare privato del grasso visibile]",Carni Fresche,Ovis agnus,104030
8,"Agnello, coscio, cotto [tessuto muscolare privato del grasso visibile, cotto in forno senza aggiunta di grassi e di sale]",Carni Fresche,Ovis agnus,104033
9,"Agnello, costoletta cruda [tessuto muscolare privato del grasso visibile]",Carni Fresche,Ovis agnus,104040
10,"Agnello, costoletta, cotta [tessuto muscolare privato del grasso visibile, cotta in forno senza aggiunta di grassi e di sale]",Carni Fresche,Ovis agnus,104043
11,Agretti,Verdure e Ortaggi,Salsola kali,5010
12,"Agretti, cotti [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Salsola kali,5025
13,Albicocche,Frutta,Prunus armeniaca,7000
14,"Albicocche, disidratate",Frutta,Prunus armeniaca,7010
15,"Albicocche, sciroppate",Frutta,Prunus armeniaca,7020
16,"Albicocche, secche",Frutta,Prunus armeniaca,7030
17,Amarene,Frutta,Prunus cerasus,7700
18,Anacardi,Frutta,Anacardium occidentale,8610
19,Ananas,Frutta,Ananas sativa,7460
20,"Ananas, sciroppato",Frutta,Ananas sativa,7470
21,Anatra domestica,Carni Fresche,Anas boscas,106010
22,"Anguilla d'allevamento, filetti",Prodotti della pesca,Anguilla anguilla,120250
23,Anguilla di fiume,Prodotti della pesca,Anguilla anguilla,120230
24,Anguilla di mare,Prodotti della pesca,Anguilla anguilla,120240
25,"Anguilla, affumicata",Prodotti della pesca,Anguilla anguilla,120210
26,"Anguilla, marinata",Prodotti della pesca,Anguilla anguilla,120220
27,Animelle di bovino crude,Frattaglie,Bos taurus,115010
28,"Animelle di bovino, cotte",Frattaglie,Bos taurus,115019
29,Anona,Frutta,Annona atemoya,7480
30,Aperitivi a base di vino,Bevande Alcooliche,,403010
31,"Arachidi, tostate",Frutta,Arachis hypogaea,8500
32,Aragosta  fresca,Prodotti della pesca,Palinurus elephas,128050
33,"Aragosta, bollita",Prodotti della pesca,Palinurus elephas,128055
34,Arance,Frutta,Citrus aurantium,8000
35,"Arance, succo",Frutta,Citrus aurantium,8010
36,Aranciata,Prodotti Vari,,401010
37,Aringa fresca,Prodotti della pesca,Clupea harengus,120300
38,"Aringa, affumicata",Prodotti della pesca,Clupea harengus,120310
39,"Aringa, marinata",Prodotti della pesca,Clupea harengus,120320
40,"Aringa, sotto sale",Prodotti della pesca,Clupea harengus,120330
41,Asparagi di bosco,Verdure e Ortaggi,Asparagus officinalis,5030
42,Asparagi di campo crudi,Verdure e Ortaggi,Asparagus officinalis,5040
43,"Asparagi di campo, cotti [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Asparagus officinalis,5045
44,Asparagi di serra,Verdure e Ortaggi,Asparagus officinalis,5050
45,Avena,Cereali e Derivati,Avena sativa,10
46,Avocado,Frutta,Persea gratissima,7490
47,Baba' al rhum,Dolci,,207010
48,Babaco,Frutta,Carica pentagona,7500
49,Bacon,Carni Trasformate e Conservate,,110010
50,Banane,Frutta,Musa sapientium,7510
51,Barbabietole rosse crude,Verdure e Ortaggi,"Beta vulgaris, cv. rapa forma rubra",5060
52,"Barbabietole rosse, cotte [bollite in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Beta vulgaris, cv. rapa forma rubra",5065
53,Barretta al cocco ricoperta di cioccolato,Dolci,,214000
54,Basilico,Verdure e Ortaggi,Ocimum basilicum,6800
55,Bastoncini di crusca di frumento,Cereali e Derivati,,3000
56,Bevanda tipo cola,Prodotti Vari,,401100
57,Bieta cruda,Verdure e Ortaggi,"Beta vulgaris, cv. Cicla",5080
58,"Bieta, cotta [bollita in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Beta vulgaris, cv. Cicla",5085
59,"Bieta, cotta [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,"Beta vulgaris, cv. Cicla",5084
60,"Big-burger -peso medio 191g- [Pane all'olio o al latte, doppio hamburger di carne bovina, ketchup, verdure]",Fast-Food a base di carne,,119010
61,Birra chiara,Bevande Alcooliche,,404010
62,Biscotti alla soia,Cereali e Derivati,,960
63,Biscotti con crusca,Cereali e Derivati,,920
64,Biscotti frollini,Cereali e Derivati,,900
65,Biscotti integrali,Cereali e Derivati,,910
66,Biscotti integrali arricchiti con fibra,Cereali e Derivati,,940
67,Biscotti integrali con soia,Cereali e Derivati,,970
68,Biscotti per l'infanzia,Cereali e Derivati,,980
69,Biscotti secchi,Cereali e Derivati,,950
70,Biscotti wafers,Cereali e Derivati,,990
71,Boga,Prodotti della pesca,Boops boops,120400
72,"Bovino adulto o vitellone - copertina di sotto, copertina di spalla, sottospalla, collo- [tessuto muscolare privato del grasso visibile]",Carni Fresche,Bos taurus,101230
73,Bovino adulto o vitellone - costata - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101150
74,Bovino adulto o vitellone - fesa - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101160
75,Bovino adulto o vitellone - filetto - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101170
76,Bovino adulto o vitellone - geretto anteriore e posteriore - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101240
77,Bovino adulto o vitellone - girello - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101180
78,Bovino adulto o vitellone - lombata - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101190
79,Bovino adulto o vitellone - noce - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101200
80,"Bovino adulto o vitellone - pancia, biancostato, punta di petto - [tessuto muscolare privato del grasso visibile]",Carni Fresche,Bos taurus,101250
81,Bovino adulto o vitellone - scamone - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101210
82,Bovino adulto o vitellone - sottofesa - [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos taurus,101220
83,"Bovino adulto o vitellone - spalla, muscolo, girello, fesone- [tessuto muscolare privato del grasso visibile]",Carni Fresche,Bos taurus,101260
84,Bovino adulto o vitellone - tagli anteriori,Carni Fresche,Bos taurus,101120
85,Bovino adulto o vitellone - tagli posteriori,Carni Fresche,Bos taurus,101130
86,"Bovino adulto o vitellone, grasso separato",Carni Fresche,Bos taurus,196000
87,Brandy,Bevande Alcooliche,,408010
88,Bresaola,Carni Trasformate e Conservate,,110020
89,Brie,Formaggi e latticini,,160410
90,Broccoletti di rapa crudi,Verdure e Ortaggi,"Brassica rapa, cv. esculenta",5090
91,"Broccoletti di rapa, cotti  [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica rapa, cv. esculenta",5095
92,Broccolo a testa crudo,Verdure e Ortaggi,"Brassica loeracea, cv. botritis caput
t
culenta",5110
93,"Broccolo a testa, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica loeracea, cv. botritis caput",5105
94,Bufalo [tessuto muscolare privato del grasso visibile],Carni Fresche,Bos bubalus,102000
95,Burrini,Formaggi e latticini,,160420
96,Burro,Olii e Grassi,,190010
97,Burro d'arachidi,Olii e Grassi,Arachis hypogaea,9010
98,Butirro calabro,Formaggi e latticini,,160430
99,Cacao amaro in polvere,Prodotti Vari,,508010
100,Cacao magro in polvere,Prodotti Vari,,508020
101,"Cacao, bevanda al latte",Prodotti Vari,,409010
102,Caciocavallo,Formaggi e latticini,,160800
103,Cacioricotta di capra,Formaggi e latticini,,160810
104,Caciotta mista,Formaggi e latticini,,160820
105,Caciotta romana di pecora,Formaggi e latticini,,160830
106,Caciotta toscana,Formaggi e latticini,,160840
107,Caciottina fresca,Formaggi e latticini,,160860
108,Caciottina mista,Formaggi e latticini,,166010
109,Caciottina vaccina,Formaggi e latticini,,160850
110,Caffe' tostato,Prodotti Vari,"Coffea arabica, Coffea robusta",508200
111,"Calamaro, fresco",Prodotti della pesca,Loligo vulgaris,127100
112,"Calamaro, surgelato",Prodotti della pesca,Loligo vulgaris,127110
113,Camembert,Formaggi e latticini,,160870
114,"Canditi [ciliegie, scorzette di frutta, frutti ghiacciati]",Dolci,,204010
115,Cannoli alla crema,Dolci,,207020
116,Capitone,Prodotti della pesca,Anguilla anguilla,120290
117,Capocollo,Carni Trasformate e Conservate,,110100
118,Capra [tessuto muscolare privato del grasso visibile],Carni Fresche,Capra hireus,104250
119,Capretto,Carni Fresche,Capra hireus,104300
120,Caramelle dure,Dolci,,202010
121,"Caramelle tipo ""mou""",Dolci,,202020
122,Carciofi crudi,Verdure e Ortaggi,Cynara scolymus,5120
123,"Carciofi, cotti [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Cynara scolymus,5125
124,"Carciofi, cotti [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,Cynara scolymus,5124
125,"Carciofi, surgelati crudi",Verdure e Ortaggi,Cynara scolymus,5130
126,Cardi crudi,Verdure e Ortaggi,Cynara cardunculus,5140
127,"Cardi, cotti [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Cynara cardunculus,5195
128,"Carne bovina in gelatina, in scatola",Carni Trasformate e Conservate,Bos taurus,113010
129,"Carne bovina pressata, in scatola",Carni Trasformate e Conservate,Bos taurus,113020
130,Carote crude,Verdure e Ortaggi,Daucus carota,5150
131,"Carote, cotte [bollite in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Daucus carota,5155
132,"Carote, cotte [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,Daucus carota,5154
133,Carpa,Prodotti della pesca,Cyprinus carpio,120500
134,Carrube,Frutta,Ceratonia siliqua,8510
135,Castagne,Frutta,Castanea vulgaris,8520
136,"Castagne, arrostite",Frutta,Castanea vulgaris,8521
137,"Castagne, bollite",Frutta,Castanea vulgaris,8525
138,"Castagne, secche",Frutta,Castanea vulgaris,8530
139,Cavallo,Carni Fresche,Equus cabalus,103010
140,Cavallo [tessuto muscolare privato del grasso visibile],Carni Fresche,Equus cabalus,103020
141,Cavolfiore crudo,Verdure e Ortaggi,"Brassica oleracea, cv. botrytis cauliflaura",5160
142,"Cavolfiore, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica oleracea, cv. botrytis cauliflaura",5165
143,"Cavolfiore, cotto [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,"Brassica oleracea, cv. botrytis cauliflaura",5164
144,Cavoli di bruxelles crudi,Verdure e Ortaggi,"Brassica oleracea, cv. gemmifera",5170
145,"Cavoli di bruxelles, cotti [bolliti in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica oleracea, cv. gemmifera",5175
146,Cavolo broccolo verde ramoso crudo,Verdure e Ortaggi,Brassica oleracea,5180
147,"Cavolo broccolo verde ramoso, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Brassica oleracea,5185
148,"Cavolo broccolo verde ramoso, cotto [in forno a microonde senza aggiunta di acqua e di sale]",Verdure e Ortaggi,Brassica oleracea,5184
149,Cavolo cappuccio rosso,Verdure e Ortaggi,"Brassica oleracea, cv. capitata",5190
150,Cavolo cappuccio verde crudo,Verdure e Ortaggi,"Brassica oleracea, cv. capitata",5200
151,"Cavolo cappuccio verde, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica oleracea, cv. capitata",5205
152,Cavolo verza crudo,Verdure e Ortaggi,"Brassica oleracea, cv. capitata",5210
153,"Cavolo verza, cotto [bollito in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,"Brassica oleracea, cv. capitata",5215
154,"Ceci in scatola, scolati",Legumi,Cicer arietinum,4010
155,Ceci secchi crudi,Legumi,Cicer arietinum,4000
156,"Ceci secchi, cotti [bolliti in acqua distillata senza aggiunta di sale e scolati]",Legumi,Cicer arietinum,4005
157,Cefalo muggine,Prodotti della pesca,Mugil cephalus,120510
158,"Cefalo muggine, uova [bottarga]",Prodotti della pesca,Mugil cephalus,120590
159,Cereali da colazione per bambini,Cereali e Derivati,,3010
160,"Cernia, surgelata",Prodotti della pesca,Epinephelus guaza,120610
161,Cervello di bovino,Frattaglie,Bos taurus,115110
162,Cervo [tessuto muscolare privato del grasso visibile],Carni Fresche,Cervus elaphus,108010
163,Cetrioli,Verdure e Ortaggi,Cucumis sativus,5220
164,Cheddar,Formaggi e latticini,,160880
165,"Cheese-burger -peso medio 132g- [Pane all'olio o al latte, hamburger di carne bovina, ketchup, verdure, formaggio]",Fast-Food a base di carne,,119020
166,Ciccioli,Carni Trasformate e Conservate,,110130
167,"Cicoria da taglio, coltivata",Verdure e Ortaggi,Cichorium intybus,5230
168,Cicoria di campo cruda,Verdure e Ortaggi,Cichorium intybus,5240
169,"Cicoria di campo, cotta [bollita in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Cichorium intybus,5245
170,Cicoria witloof o indivia belga,Verdure e Ortaggi,Indivia belga,5250
171,Ciliege,Frutta,Prunus avium,7710
172,"Ciliege, candite",Frutta,Prunus avium,7720
173,Cioccolato al latte,Dolci,,203010
174,Cioccolato al latte con nocciole,Dolci,,203030
175,Cioccolato fondente,Dolci,,203020
176,Cipolle crude,Verdure e Ortaggi,Allium cepa,5300
177,"Cipolle, cotte [bollite in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Allium cepa,5305
178,Cipolline crude,Verdure e Ortaggi,Allium cepa,5310
179,"Cipolline, cotte [bollite in acqua distillata senza aggiunta di sale]",Verdure e Ortaggi,Allium cepa,5315
180,Clementine,Frutta,Citrus reticulata var. clementine,8020
181,Cocco,Frutta,Cocos nucifera,7520
182,"Cocco, essiccato",Frutta,Cocos nucifera,7530
183,Cocktail di frutta sciroppata,Frutta,,8940
184,Cocomero,Frutta,Cocos nucifera,7040
185,Coniglio intero crudo,Carni Fresche,Oryctolagus cuniculus,107010
186,"Coniglio intero, cotto",Carni Fresche,Oryctolagus cuniculus,107019
187,"Coniglio intero, surgelato",Carni Fresche,Oryctolagus cuniculus,107020
